"","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","Dollar_val","sub_len_mnth","cluster"
"24979","ESC","Limited","INITIAL_PURCHASE","Web",13.61,"GBP","Yes","No","Off","Europe","Consumer","App","Yes","Yes",14,0,0,0,0,17.9652,6.60714285714286,1
"13177","CHI","Limited","INITIAL_PURCHASE","Web",13.61,"USD","No","No","Off","Europe","Consumer","Web","Yes","Yes",2,0,0,0,0,13.61,1.92857142857143,1
"3998","CHI","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",7,1,0,1,0,0,13.0357142857143,5
"27222","ALL","Limited","RENEWAL","App",NA,"NULL","No","Yes","On","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,13.1428571428571,2
"35999","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",2,0,0,0,0,0,3.25,2
"26423","ESP","Limited","RENEWAL","App",NA,"NULL","No","Yes","On","US/Canada","Consumer","App","No","Yes",2,2,0,1,0,0,2.78571428571429,2
"24744","FRA","Limited","RENEWAL","Web",15.83,"GBP","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,20.8956,2.17857142857143,4
"26583","ENG","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","Other","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,6.53571428571429,2
"20924","EBR","Limited","INITIAL_PURCHASE","Web",62.3,"EUR","No","Yes","Off","Europe","Consumer","Web","No","Yes",15,13,11,4,3,74.137,6.60714285714286,1
"25726","ESP","Limited","INITIAL_PURCHASE","App",49990000,"USD","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",7,0,0,0,0,49.99,3.21428571428571,3
"25892","FRA","Limited","RENEWAL","App",49990000,"USD","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,49.99,17.6428571428571,3
"24837","HIN","Lifetime","INITIAL_PURCHASE","Web",0,"GBP","No","No","Off","Europe","Consumer","Web","Yes","Yes",12,0,0,0,0,0,1044.39285714286,1
"25804","ALL","Limited","INITIAL_PURCHASE","App",109990000,"USD","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",7,1,0,1,0,109.99,13.0357142857143,2
"20660","EBR","Limited","RENEWAL","Web",16.81,"EUR","Yes","No","On","Europe","Consumer","App","Yes","Yes",6,0,0,0,0,20.0039,19.5357142857143,1
"10950","ITA","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",4,0,0,0,0,35.97,3.21428571428571,4
"4562","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",41,0,0,0,0,0,3.17857142857143,5
"7007","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,3.17857142857143,4
"17476","ENG","Limited","RENEWAL","Web",79,"USD","No","No","Off","Other","Other","Unknown","No","No",22,8,7,3,2,79,6.57142857142857,4
"36247","ITA","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","No","Yes",121,55,0,49,0,0,13.1428571428571,2
"38691","SVE","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,6.46428571428571,3
"31263","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,9.78571428571428,2
"25980","ESP","Limited","RENEWAL","App",19990000,"USD","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",2,0,0,0,0,19.99,15.4285714285714,5
"37557","ESC","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,13.0357142857143,3
"26909","ENG","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Other","Consumer","App","Yes","Yes",NA,NA,NA,NA,NA,0,3.21428571428571,2
"26136","ENG","Limited","RENEWAL","App",69990000,"USD","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",1,0,0,0,0,69.99,19.5357142857143,2
"14173","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",46,1,0,1,0,0,3.25,4
"39179","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",14,0,0,0,0,0,15.8571428571429,2
"29581","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",19,7,2,2,1,0,10.3214285714286,2
"9354","HIN","Lifetime","INITIAL_PURCHASE","Web",996.03,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,996.03,1034.17857142857,5
"27871","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",17,0,0,0,0,0,6.46428571428571,2
"25098","FRA","Limited","RENEWAL","Web",10.83,"GBP","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,14.2956,10.8571428571429,4
"2465","TGL","Limited","INITIAL_PURCHASE","Web",143.76,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",2,0,0,0,0,143.76,26.1071428571429,5
"26367","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","Other","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,9.78571428571428,2
"5950","ESP","Limited","INITIAL_PURCHASE","Web",42.8,"USD","No","Yes","Off","Europe","Consumer","Web","No","Yes",1,0,0,0,0,42.8,3.39285714285714,1
"7695","ALL","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",122,10,1,6,1,189,1028.35714285714,5
"30230","ALL","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",6,2,0,1,0,0,13.0357142857143,2
"34229","FRA","Limited","RENEWAL","App",NA,"NULL","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,13.0357142857143,3
"28844","JPN","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",59,21,0,19,0,0,6.57142857142857,2
"25181","FRA","Limited","INITIAL_PURCHASE","Web",13.61,"GBP","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,17.9652,6.46428571428571,4
"17224","ARA","Limited","RENEWAL","Web",119,"USD","No","No","Off","Other","Other","Unknown","No","No",11,6,1,3,1,119,13.0714285714286,4
"30417","POR","Limited","RENEWAL","App",NA,"NULL","No","Yes","On","Europe","Consumer","Web","Yes","Yes",19,2,1,2,1,0,11.5357142857143,1
"20626","ALL","Lifetime","INITIAL_PURCHASE","Web",299,"EUR","Yes","No","Off","Europe","Consumer","App","Yes","Yes",43,19,15,9,5,355.81,1027.89285714286,1
"30358","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",12,4,3,2,1,0,10.0357142857143,2
"17455","SVE","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",1,0,0,0,0,0,26.1071428571429,5
