"","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","Dollar_val","sub_len_mnth","cluster"
"20835","EBR","Limited","INITIAL_PURCHASE","Web",20.87,"EUR","No","No","On","Europe","Consumer","Web","Yes","Yes",31,1,0,1,0,24.8353,13.0714285714286,1
"13344","DEU","Limited","INITIAL_PURCHASE","Web",32.37,"USD","No","No","On","Other","Other","Unknown","No","No",1,0,0,0,0,32.37,3.28571428571429,4
"6770","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,13.0357142857143,5
"39348","ESP","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",88,2,0,2,0,0,13.1428571428571,2
"4596","JPN","Limited","INITIAL_PURCHASE","Web",43.16,"USD","No","Yes","Off","Europe","Consumer","Web","No","Yes",4,1,0,1,0,43.16,3.39285714285714,1
"12255","TGL","Limited","INITIAL_PURCHASE","Web",143.76,"USD","No","No","On","Other","Other","Unknown","No","No",3,0,0,0,0,143.76,26.1071428571429,4
"24994","ITA","Limited","RENEWAL","Web",10.83,"GBP","No","No","Off","Europe","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,14.2956,9.78571428571428,1
"30543","NED","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Europe","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,6.57142857142857,1
"38824","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,13.0357142857143,3
"24670","ESC","Limited","INITIAL_PURCHASE","Web",79.5,"GBP","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,104.94,13.0357142857143,4
"38874","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","Other","Other","Unknown","No","No",1,0,0,0,0,0,3.28571428571429,3
"32652","ALL","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",190,17,2,10,1,0,1027.32142857143,2
"32526","FRA","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",117,4,0,3,0,0,10.8214285714286,2
"2952","JPN","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",18,0,0,0,0,0,3.21428571428571,4
"13233","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","On","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,5.39285714285714,5
"24691","ESC","Limited","INITIAL_PURCHASE","Web",34.3,"GBP","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,45.276,3.28571428571429,4
"17432","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",101,0,0,0,0,0,13.0357142857143,5
"6923","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",34,11,7,7,3,199,1028.14285714286,5
"986","ENG","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","Off","Other","Other","Unknown","No","No",23,0,0,0,0,35.97,3.25,4
"14791","ESP","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",11,3,0,1,0,35.97,3.21428571428571,4
"4232","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",184,19,1,18,1,0,13.0357142857143,5
"28935","ESP","Limited","RENEWAL","App",NA,"NULL","No","Yes","On","US/Canada","Consumer","App","Yes","Yes",3,0,0,0,0,0,13.4642857142857,2
"10303","FRA","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",8,0,0,0,0,35.97,3.28571428571429,4
"30269","GRK","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",14,0,0,0,0,0,10.8214285714286,2
"10337","ALL","Lifetime","INITIAL_PURCHASE","Web",299,"USD","No","Yes","Off","Other","Consumer","Web","No","Yes",2,1,0,1,0,299,1028.35714285714,4
"24476","FRA","Limited","INITIAL_PURCHASE","Web",8.29,"GBP","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,10.9428,26.1071428571429,4
"21403","ESP","Limited","INITIAL_PURCHASE","Web",20.87,"EUR","No","No","On","Other","Other","Unknown","No","No",1,0,0,0,0,24.8353,13.0357142857143,4
"11885","GRK","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",8,0,0,0,0,0,13.0357142857143,4
"10534","DEU","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","On","Other","Other","Unknown","No","No",53,15,0,14,0,0,6.46428571428571,4
"5118","ALL","Lifetime","INITIAL_PURCHASE","Web",209.75,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",189,18,14,6,2,209.75,1027.32142857143,5
"31014","FRA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,6.53571428571429,2
"24064","CHI","Limited","INITIAL_PURCHASE","Web",94.5,"GBP","Yes","No","Off","Europe","Consumer","Web","Yes","Yes",7,7,2,4,1,124.74,6.5,1
"1622","ALL","Lifetime","INITIAL_PURCHASE","Web",201.76,"USD","No","No","Off","Other","Other","Unknown","No","No",23,22,0,5,0,201.76,1028.71428571429,4
"37783","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",1,0,0,0,0,0,26.1071428571429,2
"862","ALL","Limited","INITIAL_PURCHASE","Web",143.76,"USD","Yes","No","On","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,143.76,26.0714285714286,5
"387","ITA","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",192,30,0,29,0,0,6.46428571428571,5
"7381","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",12,4,4,2,2,199,1027.82142857143,5
"22604","ITA","Limited","RENEWAL","Web",83.19,"EUR","No","No","On","Other","Other","Unknown","No","No",3,2,0,1,0,98.9961,13.0714285714286,4
"18020","ALL","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","Other","Other","Unknown","No","No",12,7,0,1,0,189,1028.53571428571,4
"39635","NED","Limited","INITIAL_PURCHASE","App",41990000,"GBP","Yes","No","On","Europe","Consumer","App","Yes","Yes",6,1,0,1,0,55.4268,3.28571428571429,3
"31746","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",2,1,0,1,0,0,13.0714285714286,2
"29680","ENG","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,3.28571428571429,2
"29059","EBR","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","Other","Consumer","App","Yes","Yes",NA,NA,NA,NA,NA,0,10.75,2
"14651","ALL","Lifetime","INITIAL_PURCHASE","Web",211.54,"USD","No","No","Off","Other","Other","Unknown","No","No",7,2,2,1,1,211.54,1028.03571428571,4
"19003","ESP","Limited","RENEWAL","Web",79,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,79,6.53571428571429,4
"22493","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"EUR","No","No","Off","Other","Other","Unknown","No","No",3,3,0,1,0,236.81,1027.78571428571,4
"21006","DEU","Limited","INITIAL_PURCHASE","Web",24.5,"EUR","No","No","On","Europe","Consumer","Web","Yes","Yes",4,0,0,0,0,29.155,3.28571428571429,1
"18337","FRA","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",47,8,0,5,0,0,3.21428571428571,4
"9386","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",99,5,0,3,0,199,1027.35714285714,5
"34","FRA","Limited","RENEWAL","Web",35.97,"USD","No","Yes","On","US/Canada","Consumer","Web","Yes","Yes",6,4,0,2,0,35.97,9.89285714285714,5
"14731","FRA","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,6.5,4
"39110","FRA","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,3.28571428571429,3
"38216","ENG","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,14.2857142857143,2
"9059","JPN","Limited","RENEWAL","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",3,0,0,0,0,35.97,13.0714285714286,4
"32067","FRA","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,18.6428571428571,2
"29285","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,13.0714285714286,2
"827","GLE","Limited","INITIAL_PURCHASE","Web",37.95,"USD","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",8,1,0,1,0,37.95,3.21428571428571,5
"32986","ENG","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","Other","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,5.39285714285714,2
"23018","ESP","Limited","INITIAL_PURCHASE","Web",38.33,"GBP","No","No","Off","Europe","Consumer","Web","No","Yes",2,2,0,1,0,50.5956,3.28571428571429,1
"11472","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",6,2,0,2,0,199,1027.71428571429,4
"15006","VIE","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","Off","Other","Other","Unknown","No","No",17,0,0,0,0,35.97,3.28571428571429,4
"26280","ENG","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",5,0,0,0,0,0,1027.5,2
"18951","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",22,22,0,3,0,199,1027.89285714286,4
"14633","ALL","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","Other","Other","Unknown","No","No",5,1,0,1,0,189,1028.57142857143,4
"39331","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",17,0,0,0,0,0,6.46428571428571,2
"21752","ESC","Limited","INITIAL_PURCHASE","Web",27.73,"EUR","No","No","Off","Europe","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,32.9987,1.10714285714286,1
"30193","ENG","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","Web","Yes","Yes",84,15,0,11,0,0,11.2857142857143,2
"6162","RUS","Limited","RENEWAL","Web",35.97,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",2,0,0,0,0,35.97,19.5,5
"35054","FRA","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,3.25,3
"37306","ENG","Limited","RENEWAL","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,13.1428571428571,3
"30333","ITA","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",20,2,0,2,0,0,13.1785714285714,2
"14897","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",51,0,0,0,0,0,3.28571428571429,4
"11886","ESP","Limited","RENEWAL","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",7,2,0,1,0,35.97,6.5,4
"14066","JPN","Lifetime","INITIAL_PURCHASE","Web",189,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",2,0,0,0,0,189,1031.39285714286,5
"8506","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",17,0,0,0,0,0,3.25,4
"14131","ESP","Limited","RENEWAL","Web",79,"USD","No","No","On","Other","Other","Unknown","No","No",3,0,0,0,0,79,6.5,4
"37129","ARA","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,6.46428571428571,3
"2074","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",17,10,0,3,0,199,1027.53571428571,5
"17313","HEB","Lifetime","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",1,0,0,0,0,0,1042.14285714286,4
"27852","ENG","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","Yes","Yes",NA,NA,NA,NA,NA,0,14.8571428571429,2
"632","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",1,0,0,0,0,0,19.5357142857143,5
"39167","ARA","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",15,13,0,1,0,0,6.53571428571429,2
"37613","ALL","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,1027.39285714286,2
"37924","ENG","Limited","RENEWAL","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",16,0,0,0,0,0,6.53571428571429,3
"31852","KOR","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,3.28571428571429,2
"34941","CHI","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,13.0357142857143,2
"15864","ARA","Limited","INITIAL_PURCHASE","Web",0,"USD","Yes","No","Off","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,3.21428571428571,5
"37554","HIN","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",17,0,0,0,0,0,3.17857142857143,2
"25647","POL","Limited","RENEWAL","App",54990000,"USD","No","Yes","On","US/Canada","Consumer","App","Yes","Yes",3,0,0,0,0,54.99,13.1785714285714,3
"31501","ESP","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",NA,NA,NA,NA,NA,0,6.42857142857143,2
"16798","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",38,0,0,0,0,0,3.28571428571429,4
"7660","ALL","Limited","INITIAL_PURCHASE","Web",95.88,"USD","Yes","No","On","US/Canada","Consumer","Web","Yes","Yes",181,32,13,14,2,95.88,13.0357142857143,5
"32288","DEU","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",17,0,0,0,0,0,3.21428571428571,2
"29498","TUR","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",15,0,0,0,0,0,6.71428571428571,2
"25411","ESP","Limited","INITIAL_PURCHASE","App",0,"USD","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",211,51,12,31,7,0,10.9642857142857,5
"16038","IND","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,3.28571428571429,4
"2163","ALL","Lifetime","INITIAL_PURCHASE","Web",219.7,"USD","No","No","Off","Other","Other","Unknown","No","No",6,0,0,0,0,219.7,1027.71428571429,4
"5819","JPN","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,3.5,4
"18712","ENG","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Consumer","Web","Yes","Yes",NA,NA,NA,NA,NA,0,3.32142857142857,4
"30312","ALL","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",14,10,2,4,1,0,1027.64285714286,2
"5156","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","Yes","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,3.28571428571429,5
"5081","ESP","Limited","RENEWAL","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",7,0,0,0,0,35.97,6.5,4
"28074","CHI","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",3,0,0,0,0,0,11.8214285714286,2
"22174","POR","Limited","INITIAL_PURCHASE","Web",8.72,"EUR","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,10.3768,26.1071428571429,4
"10341","DEU","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,35.97,3.21428571428571,4
"20052","EBR","Limited","INITIAL_PURCHASE","Web",44.5,"EUR","No","Yes","Off","Europe","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,52.955,6.64285714285714,1
"35226","ARA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Other","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,3.28571428571429,2
"10700","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","On","Other","Other","Unknown","No","No",37,0,0,0,0,0,3.17857142857143,4
"31482","ENG","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","Other","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,14.6071428571429,2
"16503","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",4,3,0,1,0,199,1028.10714285714,4
"36494","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,13.0357142857143,3
"24518","FRA","Limited","RENEWAL","Web",10.83,"GBP","No","No","Off","Europe","Consumer","Web","Yes","Yes",34,0,0,0,0,14.2956,11.9642857142857,1
"895","ESP","Lifetime","INITIAL_PURCHASE","Web",378,"USD","Yes","No","Off","US/Canada","Consumer","App","No","Yes",1,0,0,0,0,378,1031.42857142857,5
"24399","ITA","Limited","INITIAL_PURCHASE","Web",15.83,"GBP","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,20.8956,1.10714285714286,4
"37619","ENG","Limited","RENEWAL","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,6.53571428571429,3
"22412","ENG","Limited","INITIAL_PURCHASE","Web",13.94,"EUR","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,16.5886,1.60714285714286,4
"32742","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",23,3,0,2,0,0,11.2857142857143,2
"15903","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",6,0,0,0,0,199,1027.75,4
"12960","JPN","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",13,0,0,0,0,0,3.28571428571429,5
"3214","ARA","Limited","INITIAL_PURCHASE","Web",39,"USD","No","Yes","Off","US/Canada","Consumer","Web","No","Yes",39,0,0,0,0,39,3.28571428571429,5
"30453","ENG","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","Other","Consumer","App","Yes","Yes",1,0,0,0,0,0,13.1785714285714,2
"7564","ESP","Limited","INITIAL_PURCHASE","Web",69,"USD","No","No","On","US/Canada","Other","Web","Yes","Yes",NA,NA,NA,NA,NA,69,6.5,5
"39209","ARA","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",86,4,0,2,0,0,13.1428571428571,2
"15","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",23,7,5,3,2,199,1027.67857142857,5
"25281","EBR","Limited","INITIAL_PURCHASE","Web",8.29,"GBP","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,10.9428,26.1071428571429,4
"31528","JPN","Limited","RENEWAL","App",NA,"NULL","No","Yes","Off","US/Canada","Consumer","App","Yes","Yes",2,0,0,0,0,0,13.5,2
"4494","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","Yes","No","Off","US/Canada","Consumer","Web","Yes","Yes",21,2,0,2,0,199,1027.35714285714,5
"7027","ESP","Limited","RENEWAL","Web",35.97,"USD","No","No","On","US/Canada","Consumer","Web","Yes","Yes",10,7,0,2,0,35.97,13.1785714285714,5
"2065","RUS","Limited","RENEWAL","Web",119,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",126,44,4,33,1,119,13.0357142857143,5
"12938","CHI","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",46,4,0,4,0,0,3.32142857142857,5
"12163","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,6.57142857142857,5
"17269","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","Other","Other","Unknown","No","No",37,0,0,0,0,0,3.28571428571429,4
"2458","ESP","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","Yes","On","US/Canada","Consumer","Web","Yes","Yes",6,0,0,0,0,35.97,3.39285714285714,5
"33689","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","On","US/Canada","Consumer","App","Yes","Yes",12,2,2,1,1,0,10.5357142857143,2
"22303","ALL","Lifetime","INITIAL_PURCHASE","Web",244.3,"EUR","No","No","Off","Other","Other","Unknown","No","No",1,0,0,0,0,290.717,1027.5,4
"14915","FRA","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","Off","Other","Other","Unknown","No","No",29,0,0,0,0,35.97,3.28571428571429,4
"31448","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",17,0,0,0,0,0,6.46428571428571,2
"3741","KOR","Limited","INITIAL_PURCHASE","Web",35.97,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",156,0,0,0,0,35.97,3.28571428571429,5
"197","FRA","Limited","RENEWAL","Web",79,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,79,6.57142857142857,4
"4919","ITA","Limited","INITIAL_PURCHASE","Web",41.73,"USD","No","Yes","Off","US/Canada","Consumer","Web","Yes","Yes",91,31,2,29,1,41.73,6.67857142857143,5
"9020","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","No","No","Off","US/Canada","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,0,6.46428571428571,5
"34547","GLE","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,9.75,2
"35440","ITA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",17,0,0,0,0,0,13.0357142857143,2
"5070","SVE","Limited","INITIAL_PURCHASE","Web",124.5,"USD","No","Yes","Off","Other","Consumer","App","No","Yes",NA,NA,NA,NA,NA,124.5,31.3928571428571,4
"31570","POR","Limited","RENEWAL","App",NA,"NULL","Yes","No","On","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,19.5357142857143,2
"13962","ALL","Lifetime","INITIAL_PURCHASE","Web",299,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,299,1027.32142857143,4
"11321","ESP","Lifetime","INITIAL_PURCHASE","Web",0,"USD","Yes","No","Off","US/Canada","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,1042.82142857143,5
"24148","ITA","Limited","RENEWAL","Web",10.83,"GBP","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,14.2956,5.46428571428571,4
"38615","JPN","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","No","Yes",173,79,0,45,0,0,3.21428571428571,2
"13086","ESP","Limited","INITIAL_PURCHASE","Web",0,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",14,0,0,0,0,0,16.3214285714286,5
"14768","ALL","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,199,1027.32142857143,4
"661","ESP","Limited","INITIAL_PURCHASE","Web",89,"USD","No","No","On","US/Canada","Other","Web","Yes","Yes",NA,NA,NA,NA,NA,89,26.1071428571429,5
"21947","ALL","Lifetime","INITIAL_PURCHASE","Web",110,"EUR","No","No","Off","Other","Other","Unknown","No","No",3,3,0,1,0,130.9,1027.39285714286,4
"38501","ALL","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","No","No","Off","Other","Other","Unknown","No","No",13,13,13,1,1,0,1028.10714285714,3
"37374","ESP","Limited","INITIAL_PURCHASE","App",NA,"NULL","No","No","On","Other","Other","Unknown","No","No",NA,NA,NA,NA,NA,0,3.21428571428571,3
"4052","FAR","Limited","RENEWAL","Web",79,"USD","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",41,1,0,1,0,79,6.53571428571429,5
"34536","ALL","Lifetime","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",3,0,0,0,0,0,1027.39285714286,2
"34489","HIN","Limited","RENEWAL","App",NA,"NULL","Yes","No","Off","US/Canada","Consumer","App","Yes","Yes",1,0,0,0,0,0,19.5357142857143,2
"14381","ARA","Limited","INITIAL_PURCHASE","Web",38.4,"USD","No","No","On","Other","Other","Unknown","No","No",2,0,0,0,0,38.4,3.28571428571429,4
"35079","ITA","Limited","RENEWAL","App",NA,"NULL","No","Yes","On","US/Canada","Consumer","App","No","Yes",1,0,0,0,0,0,13.0357142857143,2
"11478","ALL","Lifetime","INITIAL_PURCHASE","Web",210.94,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",199,26,12,7,4,210.94,1027.5,5
"16987","ALL","Lifetime","INITIAL_PURCHASE","Web",219.1,"USD","No","No","Off","Other","Other","Unknown","No","No",8,7,0,2,0,219.1,1027.46428571429,4
"36370","FRA","Limited","INITIAL_PURCHASE","App",NA,"NULL","Yes","No","Off","Europe","Consumer","App","No","Yes",NA,NA,NA,NA,NA,0,3.28571428571429,2
"20863","EBR","Limited","INITIAL_PURCHASE","Web",8.72,"EUR","No","No","Off","Europe","Consumer","Web","No","Yes",NA,NA,NA,NA,NA,10.3768,26.1071428571429,1
"8370","ARA","Lifetime","INITIAL_PURCHASE","Web",199,"USD","No","No","Off","US/Canada","Consumer","Web","Yes","Yes",7,2,0,2,0,199,1030.92857142857,5
