Language,Subscription.Type,Subscription.Event.Type,Purchase.Store,Purchase.Amount,Currency,Demo.User,Free.Trial.User,Auto.Renew,Country,User.Type,Lead.Platform,Email.Subscriber,Push.Notifications,Send.Count,Open.Count,Click.Count,Unique.Open.Count,Unique.Click.Count,Dollar_val,sub_len_mnth,cluster
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,199,1027.75,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,33,0,0,0,0,0,13.03571429,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,3.178571429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,13.03571429,1
ENG,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,79,6.571428571,1
ESP,Limited,INITIAL_PURCHASE,Web,38.13,USD,No,No,On,Other,Other,Unknown,No,No,11,0,0,0,0,38.13,3.214285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,209.75,USD,No,No,Off,Other,Other,Unknown,No,No,24,24,0,3,0,209.75,1027.642857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1028.571429,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,7,1,0,1,0,35.97,3.285714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,209.2,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,209.2,1027.928571,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,1,0,0,0,0,199,1027.357143,1
ALL,Lifetime,INITIAL_PURCHASE,Web,318.73,USD,No,No,Off,Other,Other,Unknown,No,No,5,0,0,0,0,318.73,1028.357143,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,55,1,0,1,0,0,3.285714286,1
CHI,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,No,Yes,,,,,,0,13.03571429,2
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,210,61,0,39,0,0,6.464285714,4
DEU,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Europe,Consumer,Web,No,Yes,,,,,,0,6.464285714,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,35,0,0,0,0,0,3.285714286,1
ENG,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,10,10,9,2,1,79,6.5,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,126,40,1,20,1,189,1028.785714,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,0,0,0,0,199,1028.535714,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,123,0,0,0,0,0,13.03571429,4
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,158,26,0,24,0,35.97,3.285714286,4
POL,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,5,5,0,3,0,119,13.07142857,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,1,0,0,0,0,0,13.10714286,1
ARA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,3.285714286,4
SVE,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,18,0,0,0,0,35.97,3.285714286,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,No,Yes,,,,,,0,3.178571429,2
DEU,Limited,INITIAL_PURCHASE,Web,39,USD,No,No,On,Other,Other,Unknown,No,No,9,9,0,3,0,39,16.28571429,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,3,3,0,1,0,0,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,105.93,USD,No,No,On,Other,Other,Unknown,No,No,14,13,0,3,0,105.93,26.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,9,9,0,2,0,199,1027.428571,1
ALL,Lifetime,INITIAL_PURCHASE,Web,216.66,USD,No,No,Off,Other,Other,Unknown,No,No,8,0,0,0,0,216.66,1027.892857,1
JPN,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,35.97,3.214285714,1
FRA,Limited,INITIAL_PURCHASE,Web,39.16,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,5,3,3,1,1,39.16,3.25,4
ESP,Limited,INITIAL_PURCHASE,Web,69.24,USD,No,No,On,Other,Other,Unknown,No,No,2,0,0,0,0,69.24,21.71428571,1
RUS,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,48,5,0,2,0,0,3.285714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,198,20,9,6,2,199,1027.321429,4
HEB,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,6,5,0,2,0,35.97,6.5,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,3.285714286,1
TGL,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,0,26.10714286,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,3.178571429,4
ARA,Limited,RENEWAL,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,10,5,0,2,0,35.97,6.5,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,,,,,,0,13.03571429,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,193,36,0,36,0,0,3.214285714,2
ESP,Limited,INITIAL_PURCHASE,Web,39,USD,No,No,Off,Other,Other,Unknown,No,No,14,14,0,5,0,39,3.25,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,On,US/Canada,Other,App,Yes,Yes,,,,,,0,26.10714286,2
LAT,Limited,INITIAL_PURCHASE,Web,115,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,115,13.07142857,4
RUS,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,3,1,0,1,0,79,13.07142857,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,7,2,0,1,0,35.97,6.5,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,,,,,,0,13.07142857,2
FRA,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,10,9,0,2,0,35.97,16.32142857,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,31,1,0,1,0,0,3.178571429,1
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,52,0,0,0,0,0,6.464285714,4
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,48,0,0,0,0,0,13.03571429,4
ITA,Limited,RENEWAL,Web,119,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,35,0,0,0,0,119,13.03571429,4
FRA,Limited,RENEWAL,Web,35.97,USD,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,3,0,0,0,0,35.97,9.785714286,2
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,35.97,6.5,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,12,1,0,1,0,0,13.03571429,1
DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,Other,Other,Unknown,No,No,14,2,0,1,0,65.94,6.571428571,1
DEU,Limited,INITIAL_PURCHASE,Web,39,USD,No,No,Off,Other,Other,Unknown,No,No,7,0,0,0,0,39,3.25,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Other,Web,Yes,Yes,,,,,,0,13.03571429,4
KOR,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,31,0,0,0,0,0,3.285714286,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,33,6,3,2,1,0,13.03571429,4
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,38,0,0,0,0,0,6.464285714,1
ARA,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,35.97,3.285714286,1
ALL,Limited,RENEWAL,Web,179,USD,No,No,On,Other,Other,Unknown,No,No,4,0,0,0,0,179,26.10714286,1
ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,35.97,3.285714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,204.88,USD,No,No,Off,Other,Other,Unknown,No,No,9,6,0,3,0,204.88,1027.821429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,26,23,3,9,1,0,13.03571429,4
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,25,0,0,0,0,0,3.25,4
DEU,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,7,5,0,2,0,35.97,13.07142857,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,17,0,0,0,0,0,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,33,0,0,0,0,0,13.03571429,4
DEU,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,3,0,0,0,0,79,6.5,1
ALL,Lifetime,INITIAL_PURCHASE,Web,211.64,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,156,0,0,0,0,211.64,1027.357143,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,3.25,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,13.03571429,1
RUS,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,158,1,0,1,0,0,13.03571429,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0,3.214285714,4
ALL,Lifetime,INITIAL_PURCHASE,Web,204.12,USD,No,No,Off,Other,Other,Unknown,No,No,4,0,0,0,0,204.12,1030.035714,1
FRA,Limited,INITIAL_PURCHASE,Web,130.39,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,130.39,1.214285714,4
ALL,Lifetime,INITIAL_PURCHASE,Web,209.75,USD,No,No,Off,Other,Other,Unknown,No,No,8,3,3,1,1,209.75,1028.214286,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,98,97,90,4,1,35.97,6.5,1
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,53,33,0,33,0,0,6.464285714,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,0,26.10714286,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,7,0,0,0,0,35.97,3.285714286,1
ITA,Limited,RENEWAL,Web,79,USD,No,No,On,Other,Other,Unknown,No,No,55,10,4,5,1,79,6.535714286,1
HIN,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,5,0,0,0,0,35.97,3.285714286,1
ITA,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,95.88,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,3,2,1,1,199,1027.714286,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,128,0,0,0,0,0,13.03571429,2
ALL,Lifetime,INITIAL_PURCHASE,Web,219.1,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,18,3,3,1,1,219.1,1028.142857,4
ESP,Limited,RENEWAL,Web,119,USD,No,Yes,On,US/Canada,Consumer,App,Yes,Yes,5,0,0,0,0,119,16.75,2
GRK,Limited,INITIAL_PURCHASE,Web,41.34,USD,No,No,Off,Other,Other,Unknown,No,No,34,28,4,12,1,41.34,3.25,1
ARA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,2,1,2,1,0,3.285714286,4
ESP,Limited,INITIAL_PURCHASE,Web,38.54,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,38.54,3.285714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1027.928571,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,186,27,5,20,1,199,1027.464286,4
ENG,Limited,INITIAL_PURCHASE,Web,119,USD,No,No,Off,Other,Other,Unknown,No,No,1,0,0,0,0,119,6.571428571,1
FRA,Limited,INITIAL_PURCHASE,Web,42.12,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,137,0,0,0,0,42.12,3.392857143,4
ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,10,10,0,5,0,95.88,13.03571429,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,199,1028.642857,1
RUS,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,13.03571429,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,189,1028.107143,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,7,1,0,1,0,199,1028.535714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,199,1028.25,1
ITA,Limited,INITIAL_PURCHASE,Web,119,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,3,1,0,1,0,119,6.5,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,9,3,0,2,0,199,1028.607143,1
FRA,Lifetime,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,1043.5,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,14,6,4,3,1,35.97,3.25,1
ESP,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,95.88,13.07142857,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,6.464285714,1
DEU,Limited,INITIAL_PURCHASE,Web,39.07,USD,No,No,On,Other,Other,Unknown,No,No,7,0,0,0,0,39.07,3.285714286,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,41,0,0,0,0,0,6.464285714,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,31,0,0,0,0,0,6.535714286,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,0,19.57142857,4
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,198,138,13,67,3,189,1028.5,4
ALL,Lifetime,INITIAL_PURCHASE,Web,214.92,USD,No,No,Off,Other,Other,Unknown,No,No,10,4,0,1,0,214.92,1028.285714,1
ALL,Lifetime,INITIAL_PURCHASE,Web,214.92,USD,No,No,Off,Other,Other,Unknown,No,No,5,0,0,0,0,214.92,1028.571429,1
TGL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,Other,Other,Unknown,No,No,2,2,0,1,0,189,1031.714286,1
ESP,Lifetime,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,5,5,0,2,0,0,1042.714286,1
ALL,Lifetime,INITIAL_PURCHASE,Web,208.38,USD,No,No,Off,Other,Other,Unknown,No,No,11,10,0,4,0,208.38,1037.107143,1
ESP,Limited,INITIAL_PURCHASE,Web,37.91,USD,No,No,On,Other,Other,Unknown,No,No,8,1,0,1,0,37.91,3.214285714,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,1,0,0,0,0,0,13.07142857,1
NED,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Europe,Consumer,Web,Yes,Yes,183,24,0,20,0,0,13.03571429,4
ESC,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.178571429,1
ALL,Limited,INITIAL_PURCHASE,Web,102.21,USD,No,No,On,Other,Other,Unknown,No,No,2,0,0,0,0,102.21,13.03571429,1
ALL,Lifetime,INITIAL_PURCHASE,Web,214.92,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,214.92,1028.178571,1
POR,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,65.94,6.571428571,1
ESP,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,8,5,0,1,0,35.97,13.07142857,1
ARA,Lifetime,INITIAL_PURCHASE,Web,179,USD,No,No,Off,Other,Other,Unknown,No,No,9,9,4,2,1,179,1030.5,1
ENG,Limited,RENEWAL,Web,119,USD,No,No,On,Other,Other,Unknown,No,No,15,0,0,0,0,119,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,249,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,249,1028.071429,1
FRA,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,3,0,0,0,0,95.88,13.07142857,1
ESP,Limited,INITIAL_PURCHASE,Web,38.58,USD,No,No,On,Other,Other,Unknown,No,No,8,0,0,0,0,38.58,3.214285714,1
ARA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Europe,Consumer,Web,No,Yes,,,,,,0,13.03571429,4
FRA,Limited,INITIAL_PURCHASE,Web,39,USD,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,149,2,0,2,0,39,3.392857143,4
TGL,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,Other,Other,Unknown,No,No,37,14,0,8,0,0,6.428571429,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,On,US/Canada,Consumer,Web,No,Yes,,,,,,35.97,3.214285714,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,55,9,1,8,1,0,16.32142857,4
KOR,Limited,INITIAL_PURCHASE,Web,38.13,USD,No,No,Off,Other,Other,Unknown,No,No,8,0,0,0,0,38.13,3.214285714,1
ITA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.214285714,1
ESC,Limited,INITIAL_PURCHASE,Web,13.61,USD,No,No,Off,Europe,Consumer,Web,Yes,Yes,53,6,0,4,0,13.61,3.285714286,4
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,195,24,0,16,0,0,6.571428571,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,92,0,0,0,0,0,3.285714286,4
FRA,Limited,INITIAL_PURCHASE,Web,39,USD,No,No,Off,Other,Other,Unknown,No,No,5,4,2,3,1,39,3.25,1
ESC,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,11,2,1,2,1,0,13.03571429,1
ALL,Lifetime,INITIAL_PURCHASE,Web,210.94,USD,No,No,Off,Other,Other,Unknown,No,No,5,0,0,0,0,210.94,1027.678571,1
ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,Other,Other,Unknown,No,No,28,28,28,1,1,65.94,6.5,1
HEB,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,Yes,Off,US/Canada,Consumer,Web,No,Yes,11,4,3,2,1,35.97,6.678571429,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,8,4,0,2,0,199,1028.607143,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,42,0,0,0,0,0,3.321428571,4
DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,Other,Other,Unknown,No,No,14,6,2,4,1,65.94,6.571428571,1
KIS,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,No,Yes,,,,,,0,6.535714286,4
ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,On,Other,Other,Unknown,No,No,,,,,,65.94,6.571428571,1
ESP,Limited,INITIAL_PURCHASE,Web,39,USD,No,No,Off,Other,Other,Unknown,No,No,15,4,3,2,1,39,3.25,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,182,157,0,139,0,0,13.03571429,4
ENG,Limited,RENEWAL,Web,79,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,100,0,0,0,0,79,13.03571429,4
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,10,9,0,2,0,199,1028.357143,1
TUR,Limited,INITIAL_PURCHASE,Web,65.94,USD,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,37,10,0,6,0,65.94,6.571428571,2
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,No,Yes,,,,,,0,2.071428571,2
DEU,Limited,RENEWAL,Web,79,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,79,6.535714286,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,,,,,,0,6.5,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,40,0,0,0,0,0,3.214285714,1
IND,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,,,,,,0,3.178571429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,79,0,0,0,0,0,3.25,4
JPN,Limited,RENEWAL,Web,35.97,USD,No,No,On,Other,Other,Unknown,No,No,4,0,0,0,0,35.97,6.5,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,170,5,0,3,0,0,6.464285714,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,78,0,0,0,0,0,13.03571429,4
ALL,Lifetime,INITIAL_PURCHASE,Web,211.44,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,211.44,1027.392857,1
ENG,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,32,0,0,0,0,0,13.03571429,4
VIE,Limited,INITIAL_PURCHASE,Web,39,USD,No,No,Off,Other,Other,Unknown,No,No,3,2,2,1,1,39,3.285714286,1
TGL,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,Europe,Consumer,App,No,Yes,,,,,,0,26.10714286,2
ESP,Limited,RENEWAL,Web,119,USD,No,No,Off,Other,Other,Unknown,No,No,6,6,0,4,0,119,15.17857143,1
FRA,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,5,4,4,1,1,0,3.25,1
ALL,Lifetime,INITIAL_PURCHASE,Web,212.13,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,156,29,4,15,1,212.13,1028.321429,4
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,Other,Other,Unknown,No,No,40,0,0,0,0,0,3.25,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,Yes,No,Off,US/Canada,Consumer,App,No,Yes,,,,,,0,3.178571429,2
ALL,Limited,INITIAL_PURCHASE,Web,102.6,USD,No,No,On,Other,Other,Unknown,No,No,14,10,0,2,0,102.6,13.03571429,1
ESP,Limited,INITIAL_PURCHASE,Web,0,USD,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,191,28,0,28,0,0,13.03571429,4
FRA,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,On,US/Canada,Consumer,Web,Yes,Yes,2,1,0,1,0,65.94,6.535714286,4
JPN,Limited,INITIAL_PURCHASE,Web,65.94,USD,No,No,Off,Other,Other,Unknown,No,No,5,3,2,2,1,65.94,6.535714286,1
ESP,Lifetime,INITIAL_PURCHASE,Web,205.07,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,205.07,1035.107143,1
ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0,189,1028.214286,1
KOR,Limited,INITIAL_PURCHASE,Web,38.49,USD,No,No,On,Other,Other,Unknown,No,No,8,1,1,1,1,38.49,3.214285714,1
ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,No,No,On,Other,Other,Unknown,No,No,6,0,0,0,0,95.88,13.07142857,1
ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,No,No,Off,Other,Other,Unknown,No,No,2,0,0,0,0,199,1028.107143,1
ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,No,No,Off,Other,Other,Unknown,No,No,15,6,2,3,1,35.97,6.571428571,1
